project_name,comment_id,issue_id,label,URL
HBASE,13270717.0,5957,1,https://issues.apache.org/jira/browse/HBASE-5957
HBASE,13235985.0,5613,1,https://issues.apache.org/jira/browse/HBASE-5613
HBASE,16286468.0,19394,1,https://issues.apache.org/jira/browse/HBASE-19394
HBASE,13907140.0,10525,1,https://issues.apache.org/jira/browse/HBASE-10525
HBASE,16526189.0,20789,1,https://issues.apache.org/jira/browse/HBASE-20789
HBASE,15292413.0,15856,1,https://issues.apache.org/jira/browse/HBASE-15856
HBASE,15987424.0,17950,1,https://issues.apache.org/jira/browse/HBASE-17950
HBASE,16038618.0,18066,1,https://issues.apache.org/jira/browse/HBASE-18066
HBASE,16203002.0,18602,1,https://issues.apache.org/jira/browse/HBASE-18602
HBASE,13934506.0,10744,1,https://issues.apache.org/jira/browse/HBASE-10744
HBASE,15112933.0,15132,1,https://issues.apache.org/jira/browse/HBASE-15132
HBASE,13554725.0,4451,1,https://issues.apache.org/jira/browse/HBASE-4451
HBASE,16293633.0,19522,1,https://issues.apache.org/jira/browse/HBASE-19522
HBASE,13283688.0,6002,1,https://issues.apache.org/jira/browse/HBASE-6002
HBASE,15120359.0,15169,1,https://issues.apache.org/jira/browse/HBASE-15169
HBASE,16101237.0,18362,1,https://issues.apache.org/jira/browse/HBASE-18362
HBASE,13533037.0,3776,1,https://issues.apache.org/jira/browse/HBASE-3776
HBASE,15643496.0,16992,1,https://issues.apache.org/jira/browse/HBASE-16992
HBASE,16400739.0,20197,1,https://issues.apache.org/jira/browse/HBASE-20197
HBASE,14110228.0,11072,1,https://issues.apache.org/jira/browse/HBASE-11072
HBASE,16608190.0,21052,1,https://issues.apache.org/jira/browse/HBASE-21052
HBASE,16373500.0,18133,1,https://issues.apache.org/jira/browse/HBASE-18133
HBASE,16768306.0,21899,1,https://issues.apache.org/jira/browse/HBASE-21899
HBASE,15355368.0,16108,1,https://issues.apache.org/jira/browse/HBASE-16108
HBASE,13285177.0,6107,1,https://issues.apache.org/jira/browse/HBASE-6107
HBASE,16064284.0,18177,1,https://issues.apache.org/jira/browse/HBASE-18177
HBASE,16309063.0,19490,1,https://issues.apache.org/jira/browse/HBASE-19490
HBASE,15626213.0,16975,1,https://issues.apache.org/jira/browse/HBASE-16975
HBASE,16119437.0,18522,1,https://issues.apache.org/jira/browse/HBASE-18522
HBASE,15249862.0,15674,1,https://issues.apache.org/jira/browse/HBASE-15674
HBASE,16199287.0,18552,1,https://issues.apache.org/jira/browse/HBASE-18552
HBASE,13832242.0,7544,1,https://issues.apache.org/jira/browse/HBASE-7544
HBASE,16480088.0,20556,1,https://issues.apache.org/jira/browse/HBASE-20556
HBASE,16047916.0,18180,1,https://issues.apache.org/jira/browse/HBASE-18180
HBASE,13657549.0,8519,1,https://issues.apache.org/jira/browse/HBASE-8519
HBASE,15986154.0,17957,1,https://issues.apache.org/jira/browse/HBASE-17957
HBASE,16124266.0,18526,1,https://issues.apache.org/jira/browse/HBASE-18526
HBASE,13169286.0,5022,1,https://issues.apache.org/jira/browse/HBASE-5022
HBASE,13179931.0,5125,1,https://issues.apache.org/jira/browse/HBASE-5125
HBASE,15951947.0,16942,1,https://issues.apache.org/jira/browse/HBASE-16942
HBASE,15638648.0,17033,1,https://issues.apache.org/jira/browse/HBASE-17033
HBASE,14589316.0,13470,1,https://issues.apache.org/jira/browse/HBASE-13470
HBASE,15101367.0,15098,1,https://issues.apache.org/jira/browse/HBASE-15098
HBASE,14629081.0,13971,1,https://issues.apache.org/jira/browse/HBASE-13971
HBASE,15531747.0,16721,1,https://issues.apache.org/jira/browse/HBASE-16721
