project_name,comment_id,issue_id,label,URL,manual_label
HDDS,16598704.0,379,0,https://issues.apache.org/jira/browse/HDDS-379,1
HDDS,16716319.0,115,0,https://issues.apache.org/jira/browse/HDDS-115,0
HDDS,16836776.0,1511,0,https://issues.apache.org/jira/browse/HDDS-1511,1
HDDS,16713433.0,909,0,https://issues.apache.org/jira/browse/HDDS-909,0
HDDS,16571761.0,179,0,https://issues.apache.org/jira/browse/HDDS-179,1
HDDS,16804936.0,1312,0,https://issues.apache.org/jira/browse/HDDS-1312,0
HDDS,16533677.0,199,0,https://issues.apache.org/jira/browse/HDDS-199,0
HDDS,16599800.0,357,0,https://issues.apache.org/jira/browse/HDDS-357,0
HDDS,16772401.0,1109,0,https://issues.apache.org/jira/browse/HDDS-1109,0
HDDS,16635915.0,520,0,https://issues.apache.org/jira/browse/HDDS-520,0
HDDS,16483404.0,88,0,https://issues.apache.org/jira/browse/HDDS-88,1
HDDS,16775882.0,1155,0,https://issues.apache.org/jira/browse/HDDS-1155,0
HDDS,16776740.0,1171,0,https://issues.apache.org/jira/browse/HDDS-1171,0
HDDS,16706904.0,885,0,https://issues.apache.org/jira/browse/HDDS-885,1
HDDS,16766202.0,1034,0,https://issues.apache.org/jira/browse/HDDS-1034,1
HDDS,16634829.0,564,0,https://issues.apache.org/jira/browse/HDDS-564,0
HDDS,16715864.0,115,1,https://issues.apache.org/jira/browse/HDDS-115,1
HDDS,16803435.0,1322,0,https://issues.apache.org/jira/browse/HDDS-1322,1
HDDS,16470186.0,16,0,https://issues.apache.org/jira/browse/HDDS-16,0
HDDS,16787633.0,1209,0,https://issues.apache.org/jira/browse/HDDS-1209,0
HDDS,16751798.0,1009,1,https://issues.apache.org/jira/browse/HDDS-1009,1
HDDS,16520138.0,175,0,https://issues.apache.org/jira/browse/HDDS-175,0
HDDS,16551585.0,181,0,https://issues.apache.org/jira/browse/HDDS-181,0
HDDS,16720853.0,881,0,https://issues.apache.org/jira/browse/HDDS-881,0
HDDS,16875270.0,1201,0,https://issues.apache.org/jira/browse/HDDS-1201,1
HDDS,16724513.0,936,0,https://issues.apache.org/jira/browse/HDDS-936,0
HDDS,16542312.0,226,0,https://issues.apache.org/jira/browse/HDDS-226,1
HDDS,16787866.0,1173,0,https://issues.apache.org/jira/browse/HDDS-1173,0
HDDS,16688998.0,825,0,https://issues.apache.org/jira/browse/HDDS-825,1
HDDS,16654190.0,651,0,https://issues.apache.org/jira/browse/HDDS-651,1
HDDS,16744764.0,981,0,https://issues.apache.org/jira/browse/HDDS-981,0
HDDS,16595203.0,332,0,https://issues.apache.org/jira/browse/HDDS-332,1
HDDS,16791034.0,918,0,https://issues.apache.org/jira/browse/HDDS-918,0
HDDS,16685621.0,834,0,https://issues.apache.org/jira/browse/HDDS-834,1
HDDS,16480771.0,88,0,https://issues.apache.org/jira/browse/HDDS-88,0
HDDS,16470408.0,16,0,https://issues.apache.org/jira/browse/HDDS-16,1
HDDS,16763377.0,1012,0,https://issues.apache.org/jira/browse/HDDS-1012,0
HDDS,16618358.0,366,0,https://issues.apache.org/jira/browse/HDDS-366,0
HDDS,16647142.0,550,0,https://issues.apache.org/jira/browse/HDDS-550,1
HDDS,16626688.0,547,0,https://issues.apache.org/jira/browse/HDDS-547,0
HDDS,16756443.0,1012,0,https://issues.apache.org/jira/browse/HDDS-1012,0
HDDS,16627852.0,546,0,https://issues.apache.org/jira/browse/HDDS-546,1
HDDS,16705630.0,887,0,https://issues.apache.org/jira/browse/HDDS-887,1
HDDS,16638808.0,571,0,https://issues.apache.org/jira/browse/HDDS-571,1
HDDS,16682160.0,709,0,https://issues.apache.org/jira/browse/HDDS-709,1
HDDS,16760759.0,1040,0,https://issues.apache.org/jira/browse/HDDS-1040,1
HDDS,16554343.0,272,0,https://issues.apache.org/jira/browse/HDDS-272,1
HDDS,16701188.0,539,0,https://issues.apache.org/jira/browse/HDDS-539,0
HDDS,16669187.0,762,0,https://issues.apache.org/jira/browse/HDDS-762,1
