project_name,comment_id,issue_id,label,URL,manual_label
HIVE,14805173.0,11717,0,https://issues.apache.org/jira/browse/HIVE-11717,1
HIVE,14537518.0,10609,1,https://issues.apache.org/jira/browse/HIVE-10609,1
HIVE,17114310.0,23353,0,https://issues.apache.org/jira/browse/HIVE-23353,0
HIVE,13758412.0,5199,0,https://issues.apache.org/jira/browse/HIVE-5199,0
HIVE,14945301.0,10755,0,https://issues.apache.org/jira/browse/HIVE-10755,0
HIVE,13975038.0,5771,0,https://issues.apache.org/jira/browse/HIVE-5771,0
HIVE,16988020.0,22572,1,https://issues.apache.org/jira/browse/HIVE-22572,1
HIVE,13991991.0,6910,0,https://issues.apache.org/jira/browse/HIVE-6910,1
HIVE,14710864.0,11637,0,https://issues.apache.org/jira/browse/HIVE-11637,0
HIVE,15029863.0,12341,0,https://issues.apache.org/jira/browse/HIVE-12341,0
HIVE,15887783.0,16047,0,https://issues.apache.org/jira/browse/HIVE-16047,1
HIVE,15212685.0,12367,0,https://issues.apache.org/jira/browse/HIVE-12367,1
HIVE,14284504.0,9402,0,https://issues.apache.org/jira/browse/HIVE-9402,0
HIVE,14388333.0,10123,0,https://issues.apache.org/jira/browse/HIVE-10123,1
HIVE,17086618.0,23040,0,https://issues.apache.org/jira/browse/HIVE-23040,0
HIVE,16492140.0,19460,0,https://issues.apache.org/jira/browse/HIVE-19460,0
HIVE,13976633.0,6947,0,https://issues.apache.org/jira/browse/HIVE-6947,0
HIVE,16629166.0,20632,0,https://issues.apache.org/jira/browse/HIVE-20632,0
HIVE,14227982.0,8836,0,https://issues.apache.org/jira/browse/HIVE-8836,1
HIVE,15054367.0,12643,0,https://issues.apache.org/jira/browse/HIVE-12643,0
HIVE,15202744.0,13299,1,https://issues.apache.org/jira/browse/HIVE-13299,1
HIVE,14074220.0,7405,0,https://issues.apache.org/jira/browse/HIVE-7405,0
HIVE,15226002.0,13360,0,https://issues.apache.org/jira/browse/HIVE-13360,1
HIVE,16926185.0,21884,0,https://issues.apache.org/jira/browse/HIVE-21884,0
HIVE,16127353.0,17316,0,https://issues.apache.org/jira/browse/HIVE-17316,0
HIVE,15284790.0,13693,0,https://issues.apache.org/jira/browse/HIVE-13693,1
HIVE,13818395.0,4144,0,https://issues.apache.org/jira/browse/HIVE-4144,0
HIVE,15184243.0,13178,0,https://issues.apache.org/jira/browse/HIVE-13178,0
HIVE,14178140.0,8537,0,https://issues.apache.org/jira/browse/HIVE-8537,0
HIVE,16505263.0,19800,0,https://issues.apache.org/jira/browse/HIVE-19800,0
HIVE,14600444.0,10533,0,https://issues.apache.org/jira/browse/HIVE-10533,1
HIVE,16934003.0,21975,0,https://issues.apache.org/jira/browse/HIVE-21975,0
HIVE,17027086.0,22795,0,https://issues.apache.org/jira/browse/HIVE-22795,0
HIVE,13765568.0,4171,1,https://issues.apache.org/jira/browse/HIVE-4171,1
HIVE,16105676.0,17191,0,https://issues.apache.org/jira/browse/HIVE-17191,1
HIVE,15124799.0,12934,0,https://issues.apache.org/jira/browse/HIVE-12934,0
HIVE,16103878.0,17164,0,https://issues.apache.org/jira/browse/HIVE-17164,0
HIVE,16051122.0,16911,0,https://issues.apache.org/jira/browse/HIVE-16911,1
HIVE,15833154.0,14007,0,https://issues.apache.org/jira/browse/HIVE-14007,0
HIVE,16539292.0,20041,0,https://issues.apache.org/jira/browse/HIVE-20041,-1
HIVE,15497739.0,14778,0,https://issues.apache.org/jira/browse/HIVE-14778,1
HIVE,16571120.0,20312,0,https://issues.apache.org/jira/browse/HIVE-20312,0
HIVE,16083333.0,16832,0,https://issues.apache.org/jira/browse/HIVE-16832,0
HIVE,15869909.0,15710,0,https://issues.apache.org/jira/browse/HIVE-15710,1
HIVE,15906063.0,16156,1,https://issues.apache.org/jira/browse/HIVE-16156,0
HIVE,14320373.0,9138,0,https://issues.apache.org/jira/browse/HIVE-9138,0
HIVE,16460348.0,19322,0,https://issues.apache.org/jira/browse/HIVE-19322,1
HIVE,15979568.0,12636,0,https://issues.apache.org/jira/browse/HIVE-12636,0
HIVE,16994626.0,22584,0,https://issues.apache.org/jira/browse/HIVE-22584,0
HIVE,15734991.0,15403,0,https://issues.apache.org/jira/browse/HIVE-15403,0
HIVE,15932870.0,16242,0,https://issues.apache.org/jira/browse/HIVE-16242,0
HIVE,14257279.0,9197,0,https://issues.apache.org/jira/browse/HIVE-9197,1
HIVE,15015267.0,12045,1,https://issues.apache.org/jira/browse/HIVE-12045,1
HIVE,14091642.0,7649,0,https://issues.apache.org/jira/browse/HIVE-7649,1
HIVE,14745009.0,11802,0,https://issues.apache.org/jira/browse/HIVE-11802,0
HIVE,17113317.0,23519,0,https://issues.apache.org/jira/browse/HIVE-23519,0
HIVE,15284475.0,13758,0,https://issues.apache.org/jira/browse/HIVE-13758,0
HIVE,15958649.0,16383,1,https://issues.apache.org/jira/browse/HIVE-16383,1
