issue_id,comment_id,Url,label,Themes,,,,,,,,,,,,,,,
HDDS-575,16639472,https://issues.apache.org/jira/browse/HDDS-575,1,non-reproduciable,,,,,,,,,,,,,,,
HDDS-629,16649809,https://issues.apache.org/jira/browse/HDDS-629,1,parrel commits/concurrent commits,,,,,,,,,,,,,,,
HDDS-964,16734597,https://issues.apache.org/jira/browse/HDDS-964,1,dependencies,,,,,,,,,,,,,,,
HDDS-1009,16751798,https://issues.apache.org/jira/browse/HDDS-1009,1,failure unrelated to patch,,,,,,,,,,,,,,,
HDDS-937,16725438,https://issues.apache.org/jira/browse/HDDS-937,1,dependency,,,,,,,,,,,,,,,
HDDS-651,16651025,https://issues.apache.org/jira/browse/HDDS-651,1,unrealted test class,,,,,,,,,,,,,,,
HDDS-708,16659015,https://issues.apache.org/jira/browse/HDDS-708,1,test failures are not related to the patch,,,,,,,,,,,,,,,
HDDS-1192,16813699,https://issues.apache.org/jira/browse/HDDS-1192,1,The test failures are not related.,,,,,,,,,,,,,,,
HDDS-120,16687307,https://issues.apache.org/jira/browse/HDDS-120,1,mvninstall and test failures are unrelated to patch.,,,,,,,,,,,,,,,
HDDS-849,16691929,https://issues.apache.org/jira/browse/HDDS-849,1,failure unrelated to patch,,,,,,,,,,,,,,,
HDDS-419,16615296,https://issues.apache.org/jira/browse/HDDS-419,1,Error test,,,,,,,,,,,,,,,
HDDS-265,16568659,https://issues.apache.org/jira/browse/HDDS-265,1,External Environment Impact,,,,,,,,,,,,,,,
HDDS-394,16615527,https://issues.apache.org/jira/browse/HDDS-394,1,checkstyle,,,,,,,,,,,,,,,
HDDS-805,16719420,https://issues.apache.org/jira/browse/HDDS-805,1,"unexpected behaviour,Irrelevant to major changes",,,,,,,,,,,,,,,
HDDS-1667,16863519,https://issues.apache.org/jira/browse/HDDS-1667,1,need rebase,,,,,,,,,,,,,,,
HDDS-336,16590350,https://issues.apache.org/jira/browse/HDDS-336,1,checkstyle,,,,,,,,,,,,,,,
HDDS-1323,16799151,https://issues.apache.org/jira/browse/HDDS-1323,1,"Unrelated Testing Classes,Error test",,,,,,,,,,,,,,,
HDDS-246,16560302,https://issues.apache.org/jira/browse/HDDS-246,1,unexpected behaviour,,,,,,,,,,,,,,,
HDDS-263,16601782,https://issues.apache.org/jira/browse/HDDS-263,1,checkstyle; need rebase,,,,,,,,,,,,,,,
HDDS-469,16616392,https://issues.apache.org/jira/browse/HDDS-469,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HDDS-351,16606732,https://issues.apache.org/jira/browse/HDDS-351,1,unexpected behaviour,,,,,,,,,,,,,,,
HDDS-876,16701030,https://issues.apache.org/jira/browse/HDDS-876,1,checkstyle,,,,,,,,,,,,,,,
HDDS-203,16551594,https://issues.apache.org/jira/browse/HDDS-203,1,checkstyle; need rebase,,,,,,,,,,,,,,,
HDDS-179,16578192,https://issues.apache.org/jira/browse/HDDS-179,1,javadoc,,,,,,,,,,,,,,,
HDDS-444,16626757,https://issues.apache.org/jira/browse/HDDS-444,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HDDS-550,16644931,https://issues.apache.org/jira/browse/HDDS-550,1,External Environment Impact,,,,,,,,,,,,,,,
HDDS-938,16732680,https://issues.apache.org/jira/browse/HDDS-938,1,javadoc,,,,,,,,,,,,,,,
HDDS-239,16550378,https://issues.apache.org/jira/browse/HDDS-239,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HDDS-576,16684155,https://issues.apache.org/jira/browse/HDDS-576,1,checkstyle,,,,,,,,,,,,,,,
HDDS-737,16677654,https://issues.apache.org/jira/browse/HDDS-737,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HDDS-749,16668350,https://issues.apache.org/jira/browse/HDDS-749,1,Error test,,,,,,,,,,,,,,,
HDDS-268,16584527,https://issues.apache.org/jira/browse/HDDS-268,1,"need rebase, checkstyle",,,,,,,,,,,,,,,
HDDS-428,16610802,https://issues.apache.org/jira/browse/HDDS-428,1,external resource,,,,,,,,,,,,,,,
HDDS-601,16645739,https://issues.apache.org/jira/browse/HDDS-601,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HDDS-1072,16781289,https://issues.apache.org/jira/browse/HDDS-1072,1,unexpected behaviour; checkstyle ,,,,,,,,,,,,,,,
HDDS-267,16574012,https://issues.apache.org/jira/browse/HDDS-267,1,need rebase; unexpected behavior,,,,,,,,,,,,,,,
HDDS-885,16705255,https://issues.apache.org/jira/browse/HDDS-885,1,unexpected behavior,,,,,,,,,,,,,,,
HDDS-364,16588278,https://issues.apache.org/jira/browse/HDDS-364,1,unexpected behavior,,,,,,,,,,,,,,,
HDDS-1006,16751373,https://issues.apache.org/jira/browse/HDDS-1006,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HDDS-393,16725369,https://issues.apache.org/jira/browse/HDDS-393,1,checkstyle,,,,,,,,,,,,,,,
HDDS-864,16711332,https://issues.apache.org/jira/browse/HDDS-864,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HDDS-799,16674179,https://issues.apache.org/jira/browse/HDDS-799,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HDDS-464,16618035,https://issues.apache.org/jira/browse/HDDS-464,1,checkstyle,,,,,,,,,,,,,,,
HDDS-726,16781803,https://issues.apache.org/jira/browse/HDDS-726,1,unexpected behavior,,,,,,,,,,,,,,,
HDDS-1038,16777459,https://issues.apache.org/jira/browse/HDDS-1038,1,checkstyle ,,,,,,,,,,,,,,,
HDDS-258,16553737,https://issues.apache.org/jira/browse/HDDS-258,1,need rebase ,,,,,,,,,,,,,,,
HDDS-495,16619648,https://issues.apache.org/jira/browse/HDDS-495,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HDDS-912,16723999,https://issues.apache.org/jira/browse/HDDS-912,1,unexpected behavior; checkstyle ,,,,,,,,,,,,,,,
HDDS-228,16537434,https://issues.apache.org/jira/browse/HDDS-228,1,Timeout,,,,,,,,,,,,,,,
HDDS-253,16542848,https://issues.apache.org/jira/browse/HDDS-253,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HDDS-843,16688438,https://issues.apache.org/jira/browse/HDDS-843,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HDDS-266,16555555,https://issues.apache.org/jira/browse/HDDS-266,1,need rebase; behavior unexpected behavior ,,,,,,,,,,,,,,,
HDDS-1416,16815291,https://issues.apache.org/jira/browse/HDDS-1416,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HDDS-801,16689404,https://issues.apache.org/jira/browse/HDDS-801,1,checkstyle; unrelated testing classes ,,,,,,,,,,,,,,,
HDDS-696,16699845,https://issues.apache.org/jira/browse/HDDS-696,1,checkstyle; unexpected behavior ,,,,,,,,,,,,,,,
HDDS-370,16624185,https://issues.apache.org/jira/browse/HDDS-370,1,need rebase ; checkstyle,,,,,,,,,,,,,,,
HDDS-960,16736726,https://issues.apache.org/jira/browse/HDDS-960,1,checkstyle; unrelated testing classes,,,,,,,,,,,,,,,
HDDS-297,16605417,https://issues.apache.org/jira/browse/HDDS-297,1,checkstyle,,,,,,,,,,,,,,,
HDDS-441,16626436,https://issues.apache.org/jira/browse/HDDS-441,1,checkstyle; unrelated testing classes ,,,,,,,,,,,,,,,
HDDS-1013,16752821,https://issues.apache.org/jira/browse/HDDS-1013,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HDDS-1,16465328,https://issues.apache.org/jira/browse/HDDS-1,1,Unrelated Testing Classes,,,,,,,,,,,,,,,
HDDS-608,16644769,https://issues.apache.org/jira/browse/HDDS-608,1,unexpected behavior,,,,,,,,,,,,,,,
